label,base,delta,score,path,scorer
a2_kyogre_33_energy_e+2,Z:\kaggle\pokemon\agent_decks\a2_kyogre_33_energy.csv,2,0.9166666666666666,Z:\kaggle\pokemon\agent_decks\search_variants\a2_kyogre_33_energy_e+2.csv,search
a2_kyogre_33_energy_e+0,Z:\kaggle\pokemon\agent_decks\a2_kyogre_33_energy.csv,0,0.8888888888888888,Z:\kaggle\pokemon\agent_decks\search_variants\a2_kyogre_33_energy_e+0.csv,search
deck_e+4,Z:\kaggle\pokemon\agent\deck.csv,4,0.875,Z:\kaggle\pokemon\agent_decks\search_variants\deck_e+4.csv,search
a2_big_basic_29_energy_e+4,Z:\kaggle\pokemon\agent_decks\a2_big_basic_29_energy.csv,4,0.875,Z:\kaggle\pokemon\agent_decks\search_variants\a2_big_basic_29_energy_e+4.csv,search
deck_e+0,Z:\kaggle\pokemon\agent\deck.csv,0,0.8472222222222222,Z:\kaggle\pokemon\agent_decks\search_variants\deck_e+0.csv,search
a2_big_basic_29_energy_e+2,Z:\kaggle\pokemon\agent_decks\a2_big_basic_29_energy.csv,2,0.8333333333333334,Z:\kaggle\pokemon\agent_decks\search_variants\a2_big_basic_29_energy_e+2.csv,search
a2_kyogre_33_energy_e+4,Z:\kaggle\pokemon\agent_decks\a2_kyogre_33_energy.csv,4,0.8194444444444444,Z:\kaggle\pokemon\agent_decks\search_variants\a2_kyogre_33_energy_e+4.csv,search
a2_big_basic_29_energy_e+0,Z:\kaggle\pokemon\agent_decks\a2_big_basic_29_energy.csv,0,0.8194444444444444,Z:\kaggle\pokemon\agent_decks\search_variants\a2_big_basic_29_energy_e+0.csv,search
deck_e+2,Z:\kaggle\pokemon\agent\deck.csv,2,0.7361111111111112,Z:\kaggle\pokemon\agent_decks\search_variants\deck_e+2.csv,search
a4_basic_water_33_energy_e+2,Z:\kaggle\pokemon\agent_decks\a4_basic_water_33_energy.csv,2,0.6527777777777778,Z:\kaggle\pokemon\agent_decks\search_variants\a4_basic_water_33_energy_e+2.csv,search
a4_basic_water_33_energy_e+0,Z:\kaggle\pokemon\agent_decks\a4_basic_water_33_energy.csv,0,0.6388888888888888,Z:\kaggle\pokemon\agent_decks\search_variants\a4_basic_water_33_energy_e+0.csv,search
a4_basic_water_33_energy_e+4,Z:\kaggle\pokemon\agent_decks\a4_basic_water_33_energy.csv,4,0.6111111111111112,Z:\kaggle\pokemon\agent_decks\search_variants\a4_basic_water_33_energy_e+4.csv,search
