gen,best_robust,best_mean,best_maximin,best_worst,holdout_robust,holdout_maximin,n_opponents,games_simulated,games_predicted,elapsed_s
0,0.3935,0.6759,0.3,"('pilot_abomasnow', 0.3)",0.4462,0.1,59,964,0,245.0
1,0.4447,0.6777,0.1,"('059_unknown__w1.00', 0.1)",0.4911,0.3,60,1513,431,410.8
2,0.4536,0.6783,0.2,"('010_lucario__w1.00', 0.2)",0.4886,0.1,61,2087,853,622.7
3,0.4292,0.6666,0.2,"('052_kyogre__w1.00', 0.2)",0.4845,0.3,62,2692,1260,879.1
4,0.4258,0.6782,0.2,"('057_lucario__w1.00', 0.2)",0.5623,0.3,63,3283,1697,1202.6
5,0.4256,0.6623,0.3,"('026_lucario__w1.00', 0.3)",0.4687,0.2,64,3881,2143,1562.0
6,0.4285,0.6938,0.2,"('pilot_abomasnow', 0.2)",0.5308,0.3,65,4536,2548,1995.0
7,0.3946,0.6306,0.1,"('009_lucario__w1.00', 0.1)",0.4621,0.2,66,5208,2952,2530.4
8,0.4035,0.6298,0.1,"('035_lucario__w1.00', 0.1)",0.4216,0.2,67,5894,3358,3084.8
9,0.3921,0.635,0.1,"('053_lucario__w1.00', 0.1)",0.5015,0.3,68,6601,3759,3689.4
10,0.3903,0.6198,0.2,"('selfelite_g8', 0.2)",0.4771,0.2,69,7341,4143,4402.5
11,0.3869,0.6303,0.1,"('038_lucario__w1.00', 0.1)",0.49,0.2,70,8075,4549,5173.0
12,0.4147,0.5918,0.2,"('010_lucario__w1.00', 0.2)",0.4119,0.2,71,8840,4940,6033.8
13,0.426,0.667,0.2,"('012_lucario__w1.00', 0.2)",0.4947,0.2,71,9610,5326,6960.5
14,0.4285,0.6302,0.3,"('selfelite_g5', 0.3)",0.4691,0.1,71,10359,5733,7918.4
15,0.4231,0.6579,0.3,"('048_unknown__w1.00', 0.3)",0.5594,0.3,71,11121,6127,8951.8
16,0.427,0.6054,0.2,"('leader_trevenant_control', 0.2)",0.6152,0.5,71,11886,6518,10064.2
17,0.4151,0.666,0.3,"('037_unknown__w1.00', 0.3)",0.4772,0.2,71,12641,6919,11220.3
18,0.4134,0.6251,0.3,"('033_lucario__w1.00', 0.3)",0.4243,0.1,71,13406,7310,12501.1
19,0.3947,0.6487,0.3,"('058_alakazam__w1.00', 0.3)",0.4583,0.1,71,14170,7702,13794.3
20,0.3867,0.6565,0.3,"('009_lucario__w1.00', 0.3)",0.5286,0.3,71,14936,8092,15064.5
21,0.4329,0.6552,0.2,"('053_lucario__w1.00', 0.2)",0.5305,0.3,71,15706,8478,16384.5
22,0.3962,0.6661,0.2,"('016_lucario__w1.00', 0.2)",0.4986,0.2,71,16464,8876,17722.0
23,0.4224,0.6737,0.2,"('037_unknown__w1.00', 0.2)",0.4688,0.2,71,17223,9273,19131.3
24,0.3802,0.6499,0.1,"('035_lucario__w1.00', 0.1)",0.5019,0.2,71,17983,9669,20575.7
25,0.4089,0.6311,0.1,"('a2_kyogre', 0.1)",0.5076,0.2,71,18755,10053,22098.2
26,0.3801,0.5999,0.1,"('031_unknown__w1.00', 0.1)",0.4706,0.2,71,19524,10440,23693.5
27,0.4185,0.6415,0.2,"('selfelite_g16', 0.2)",0.5295,0.2,71,20290,10830,25306.5
28,0.4138,0.6274,0.1,"('009_lucario__w1.00', 0.1)",0.503,0.2,71,21010,11266,26903.2
29,0.4176,0.6519,0.2,"('048_unknown__w1.00', 0.2)",0.4763,0.2,71,21740,11692,28562.3
